SAMPLE_SYNONYM,RUN_ID,LANE,PLEX,CGP_PASS,READPAIR_COUNT,STUDY_ID
SK-N-SH,16335,2,,y,254707471,3140
SK-NEP-1,16192,7,,y,235233172,3140
SK-PN-DW,15574,4,,y,250938447,3140
SKG-IIIa,16116,3,,y,210521402,3140
SKN,16116,7,,y,250209790,3140
SKN-3,16116,8,,y,254595687,3140
SLVL,16206,2,,N,279617805,3140
SLVL,16335,3,,y,258464660,3140
SN12C,15574,5,,N,284879417,3140
SN12C,16437,1,,y,262878894,3140
SNU-175,13305,5,,y,153033503,3140
SNU-283,13305,6,,y,169594277,3140
SNU-407,13305,7,,y,171847950,3140
SNU-81,16779,1,59,y,175441340,3140
SNU-C1,13305,8,,y,174537800,3140
SNU-C2B,13666,4,,y,176124689,3140
SNU-C5,16779,2,60,y,216134216,3140
SR,16206,3,,y,252460807,3140
ST486,16779,3,61,y,178132582,3140
STS-0421,16206,4,,y,242866453,3140
SU-DHL-10,16848,1,,y,201844136,3140
SU-DHL-16,16206,5,,y,265569212,3140
SU-DHL-5,16848,2,,y,201162391,3140
SU-DHL-6,16848,3,,y,199515158,3140
SUIT-2,16848,4,,y,190527682,3140
SUP-B8,16206,6,,y,243296902,3140
SUP-HD1,16437,4,,y,227183908,3140
SW1088,16848,5,,y,215715503,3140
SW1116,16848,6,,y,208098369,3140
SW13,15574,6,,y,230509232,3140
SW1463,16848,7,,y,215699400,3140
SW156,16206,7,,y,188759973,3140
SW1573,16848,8,,y,196807823,3140
SW1710,16872,1,,y,197915130,3140
SW403,16872,2,,y,219110445,3140
SW48,13666,5,,y,132251388,3140
SW620,13666,6,,y,148156271,3140
SW626,16872,3,,y,124253648,3140
SW684,16206,8,,y,250024506,3140
SW756,16207,1,,y,232404640,3140
SW780,16872,4,,y,221315630,3140
SW837,16872,5,,y,201326749,3140
SW872,16207,2,,y,255918365,3140
SW948,13666,7,,y,136235929,3140
SW954,16207,3,,y,238483464,3140
SW962,16207,4,,y,212610522,3140
SW982,16207,5,,y,223452268,3140
Sarc9371,15581,8,,y,270674205,3140
Sarc9371,15688,5,,N,266113947,3140
Sarc9371,15722,8,,y,249663934,3140
Set2,16142,7,,y,237544373,3140
SiHa,16142,8,,y,247482433,3140
TASK1,16192,8,,y,220857654,3140
TC-YIK,16207,6,,y,237407096,3140
TE-10,16872,6,,y,199354852,3140
TE-12,16207,7,,y,242624363,3140
TE-4,16872,7,,y,240165225,3140
TE-441-T,16872,8,,y,207059170,3140
TE-6,16871,1,,y,205771750,3140
TE-8,16871,2,,y,206942594,3140
TGBC11TKB,16871,3,,y,163312309,3140
TGBC1TKB,16207,8,,y,229573494,3140
TGBC24TKB,16232,1,,y,196074914,3140
TGW,16232,2,,y,239578034,3140
TK,16232,3,,y,188664957,3140
TK10,15574,7,,y,245830111,3140
TMK-1,16232,4,,y,234427386,3140
TT2609-C02,16871,4,,y,215248237,3140
TUR,16232,5,,y,238650596,3140
U-266,16871,5,,y,187697359,3140
U-698-M,16232,7,,y,247687158,3140
U-CH2,15575,1,,y,255116014,3140
U031,15574,8,,y,248449513,3140
U251,16232,6,,y,186757449,3140
UACC-812,16871,6,,y,200883247,3140
UDSCC2,16232,8,,y,247358072,3140
UMC-11,15575,2,,y,263821609,3140
UWB1-289,16269,5,,y,236132415,3140
VA-ES-BJ,16269,6,,y,217036078,3140
VAL,16269,7,,y,214777336,3140
VM-CUB-1,16871,7,,y,203109399,3140
VMRC-LCD,15575,3,,y,261601660,3140
VMRC-MELG,16269,8,,y,213638786,3140
VMRC-RCZ,16871,8,,y,204083608,3140
WIL2-NS,16192,1,,y,258263412,3140
WM1552C,15575,4,,y,255824535,3140
WM278,15575,5,,y,247721916,3140
WM35,15575,6,,N,287112415,3140
WM35,16437,2,,y,250565799,3140
WM793B,15575,7,,y,252387249,3140
WSU-DLCL2,16764,1,86,y,78829798,3140
WSU-NHL,16192,2,,y,242726483,3140
YAPC,16764,2,87,y,189221907,3140
YH-13,16764,3,88,y,152425565,3140
YT,16192,3,,y,216111802,3140
ZR-75-30,13617,3,,y,136509844,3140
no-10,16098,7,,y,210687955,3140
no-11,16098,8,,y,228533760,3140
